Product_ID,Product_Name,Category,Product_Description,Brand_Name,Storage_Size,RAM_Size,Word_Count,lightweight,pro,ram,storage,waterproof,16gb storage,adjustable height,battery life,long battery,rate monitor,Entities,Noun_Count,Verb_Count,Adjective_Count
19,Product_19,Electronics,"BrandP BluetoothHeadset - Noise Cancelling, Long Battery Life",BrandP,,,8,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,"[('BluetoothHeadset - Noise Cancelling', 'ORG')]",1,0,0
20,Product_20,Clothing,"BrandQ HikingBoots - Waterproof, Durable, Ankle Support",BrandQ,,,7,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,"[('HikingBoots - Waterproof, Durable,', 'ORG')]",1,0,1
21,Product_21,Electronics,"BrandR SportsWatch - GPS, Heart Rate Monitor, 32GB Storage",BrandR,32GB,,9,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,"[('32', 'CARDINAL'), ('GB', 'GPE')]",1,0,0
22,Product_22,Electronics,"BrandS LaptopStand Pro - Adjustable, Lightweight, Portable",BrandS,,,7,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0,0,0,0,0,"[('LaptopStand Pro - Adjustable', 'ORG'), ('Lightweight', 'GPE')]",0,0,0
23,Product_23,Electronics,"BrandT WirelessMouse - Ergonomic Design, 3 Buttons, Bluetooth",BrandT,,,8,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"[('WirelessMouse - Ergonomic Design', 'ORG'), ('3', 'CARDINAL')]",1,0,0
24,Product_24,Electronics,"BrandU FitnessBand - Step Counter, Sleep Monitor, Bluetooth",BrandU,,,8,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,[],0,0,0
25,Product_25,Clothing,"BrandV SmartLight - Color Changing, WiFi Enabled, 12W LED",BrandV,,,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"[('WiFi Enabled', 'PERSON'), ('12W', 'GPE')]",1,0,0
26,Product_26,Clothing,"BrandW BikeHelmet - Lightweight, Aerodynamic, 5 Air Vents",BrandW,,,8,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"[('BikeHelmet - Lightweight, Aerodynamic', 'ORG'), ('5', 'CARDINAL')]",2,0,0
27,Product_27,Clothing,"BrandX PortableGrill - Foldable, Charcoal, Stainless Steel",BrandX,,,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"[('PortableGrill - Foldable', 'ORG'), ('Charcoal', 'ORG')]",0,0,0
28,Product_28,Electronics,"BrandY HikingBackpack - 50L, Waterproof, Multiple Pockets",BrandY,,,7,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,"[('HikingBackpack - 50L', 'ORG')]",1,1,0
29,Product_29,Clothing,"BrandZ FitnessMat - Non-slip, 10mm Thickness, Eco-Friendly",BrandZ,,,7,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"[('FitnessMat - Non-slip', 'ORG'), ('10mm', 'QUANTITY')]",1,0,1
30,Product_30,Electronics,"BrandA UltraMonitor - 32"", 120Hz, QHD, 5ms Response Time",BrandA,,,9,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,"[('UltraMonitor', 'ORG'), ('120Hz', 'DATE'), ('QHD', 'ORG'), ('5ms', 'ORDINAL')]",0,0,1
